id,phase,group,hypothesis,variant_a,variant_b,attacker,defender,stance_a,stance_b,distance,runs,primary_metrics,acceptance_or_decision_rule
A01,1,Resolution order,Block-first and dodge-first produce materially different defense value,dodge_before_block,block_before_dodge,equal baseline,equal baseline,attack2,defense4,1,10000,"block_rate;dodge_rate;damage_per_attack","Select explicitly; reject accidental >10% E[D] shift"
A02,1,Lucky hit,Lucky should pierce block only rather than also bypass armor,pierce_block_and_armor,pierce_block_only,luck specialist,armored blocker,attack2,defense4,1,10000,"pierce_rate;damage_on_pierce;TTK","Prefer block-only if armor value collapses >15%"
A03,1,Lucky+crit,Determine whether lucky and critical may coexist,coexist,mutually_exclusive,luck+anger hybrid,balanced defender,attack2,mixed,1,10000,"joint_rate;burst_p95;one_turn_kill_rate","Joint burst p95 must stay below 45% max HP"
A04,1,Counter trigger,Counter triggers on any attack attempt versus landed attacks only,attempt,landed_hit,reaction specialist,equal attacker,attack2,mixed,1,10000,"counter_rate;counter_damage;rounds","Choose behavior; counter contribution target 10-25% defender damage"
A05,1,Counter trigger,Counter on blocked attacks versus no counter on blocked attacks,blocked_allowed,blocked_disallowed,equal attacker,reaction blocker,attack2,defense4,1,10000,"block_counter_rate;damage_per_round","Block+counter must not create >60% win rate equal cost"
A06,1,Counter damage,Official description ties counter to incoming attack force,incoming_force,defender_weapon,reaction defender,strong attacker,attack2,mixed,1,10000,"counter_damage_mean;counter_p95;scaling","Pick model with monotonic but capped attacker-force response"
A07,1,Counter hybrid,Blend incoming force and defender weapon,0.5_incoming_plus_weapon,current_fraction_weapon,reaction defender,strong attacker,attack2,mixed,1,10000,"counter_damage;build_sensitivity;TTK","No free high counter damage without Reaction investment"
A08,1,Dodge contest,Ratio contest versus additive pressure,ratio,additive,accuracy specialist,dodger,attack2,mixed,1,10000,"dodge_rate;cap_hits;sensitivity","10 stat advantage should be meaningful but not >75% dodge"
A09,1,Crit contest,Anger/anti-crit ratio versus additive contest,ratio,additive,critical specialist,anti-crit tank,attack2,mixed,1,10000,"crit_rate;crit_damage_share","Anti-crit investment must reduce crit rate monotonically"
A10,1,Wards,Ward diminishing returns versus flat subtraction,diminishing_returns,flat_subtraction,balanced attacker,ward specialist,attack2,mixed,1,10000,"marginal_value;cap_rate","No ward point should become stronger at high values"
A11,1,Block pierce defense,Introduce explicit anti-luck ward,anti_luck_stat,no_anti_luck,luck specialist,blocker,attack2,defense4,1,10000,"pierce_rate;block_value;win_rate","Anti-luck 10 should cut pierce rate 20-40%, not nullify"
A12,1,Anti-dodge,Wire item anti-dodge into snapshots,wired,current_zero,accuracy gear,dodger,attack2,mixed,1,10000,"dodge_rate;hit_rate","Each point changes dodge predictably; preserve caps"
A13,1,Anti-counter,Wire item anti-counter into snapshots,wired,current_zero,anti-counter gear,reaction defender,attack2,mixed,1,10000,"counter_rate;win_rate","Each point reduces counter monotonically; floor >=1% if desired"
B01,2,Action budget,Validate equal-cost attack2 versus defense4,attack2,defense4,equal budget,equal budget,attack2,defense4,1,5000,"win_rate;rounds;damage_per_round","Each side 40-60% in mirrored alternating-role test"
B02,2,Action budget,Validate mixed 1+2 as viable compromise,mixed,attack2,equal budget,equal budget,mixed,attack2,1,5000,"win_rate;rounds;blocked_zones","Mixed win rate 40-60% versus attack2 equal cost"
B03,2,Action budget,Validate mixed versus defense4,mixed,defense4,equal budget,equal budget,mixed,defense4,1,5000,"win_rate;rounds;stall_rate","No >10% 30-round timeout rate"
B04,2,Specialists,Lucky specialist versus blocker,luck build,balanced blocker,luck budget,block budget,attack2,defense4,1,5000,"win_rate;pierce_rate;TTK","Counter matchup advantage 55-70%, not hard counter >75%"
B05,2,Specialists,Dodger versus accuracy specialist,dodge build,accuracy build,dodge budget,accuracy budget,mixed,attack2,1,5000,"win_rate;dodge_rate;hit_rate","Counter matchup advantage 55-70%"
B06,2,Specialists,Crit specialist versus anti-crit tank,crit build,anti-crit tank,crit budget,tank budget,attack2,mixed,1,5000,"win_rate;crit_rate;burst_p95","Counter matchup advantage 55-70%; one-turn kill <5%"
B07,2,Specialists,Reaction specialist versus anti-counter build,reaction build,anti-counter build,reaction budget,ward budget,mixed,attack2,1,5000,"win_rate;counter_rate;counter_share","Counter matchup advantage 55-70%"
B08,2,Specialists,Armor tank versus strength specialist,armor build,strength build,armor budget,strength budget,mixed,attack2,1,5000,"win_rate;mitigation;repair_cost","Neither wins >70% equal total budget"
B09,2,Hybrid,Hybrid versus each specialist,hybrid,one_specialist,equal total budget,equal total budget,mixed,variable,1,5000,"win_rate_by_matchup;variance","Hybrid 40-60% average, no matchup below25%"
B10,2,Progression,Low-tier versus high-tier same allocation,tier1,tier2,same build,same build,attack2,attack2,1,5000,"win_rate;TTK;gear_advantage","Tier2 advantage visible 55-70%, not deterministic"
C01,3,Zones,Unarmored head versus armored chest,head_target,chest_target,equal attacker,zone armor baseline,attack2,mixed,1,10000,"damage_by_zone;durability_loss","Head expected damage > chest; no zone >2x without crit"
C02,3,Zones,Armor mapping and zonal wear correctness,all_zones,expected_slot_map,equal attacker,full gear,attack2,mixed,1,10000,"wear_by_slot;unmapped_hits","100% hits map to intended slot; no unrelated wear"
C03,3,Movement,Melee closes distance against ranged kiting,melee,ranged,melee build,ranged build,attack2,attack2,6,5000,"win_rate;distance_by_round;rounds","Both have counterplay; ranged not >70% on default grid"
C04,3,Movement,Ranged weapon minimum distance behavior,current,no_point_blank,ranged build,melee adjacent,attack2,attack2,1,5000,"hit_rate;move_choices;win_rate","Explicit design; no silent full ranged effectiveness at distance1"
C05,3,Movement,Line-of-sight obstacle layouts,open_grid,blocked_grid,ranged build,ranged build,attack2,attack2,6,5000,"shots_blocked;path_length;stall_rate","Blocked cells affect LOS deterministically; stall <10%"
C06,3,Targeting,Team target selection 2v2,lowest_hp,nearest_or_threat,balanced team,balanced team,attack2,attack2,4,3000,"focus_fire_rate;side_win_rate;rounds","Spawn-side symmetry within 3 percentage points"
C07,3,Targeting,Team target selection 4v4,lowest_hp,nearest_or_threat,balanced team,balanced team,mixed,mixed,6,2000,"side_win_rate;focus_fire;timeouts","Spawn-side symmetry within 3pp; timeout <10%"
C08,3,Timeout,Seven-second auto-block impact,auto_defense4,auto_mixed,equal player,equal player,timeout,manual,1,5000,"timeout_win_rate;stall_rate","Timeout not strategically stronger than manual action"
D01,4,Economy,Compare combat power per ruble across builds,all_builds,normalized_budget,build catalog,build catalog,variable,variable,variable,2000,"win_rate_per_cost;repair_cost;upgrade_EV","No build >20% efficiency above median without explicit role cost"
D02,4,Durability,Armor and weapon wear by build,all_builds,100_battles,build catalog,build catalog,variable,variable,variable,100,"wear;repair_parts;money_sink","Repair burden within ±25% unless tank premium is intentional"
D03,4,Rewards,Damage-based XP rewards do not favor stall builds,damage_reward,win_plus_activity,blocker/attacker,blocker/attacker,variable,variable,1,5000,"XP_per_minute;XP_per_damage;AFK_gain","No passive/block-only positive farm loop"
D04,4,Anti-farm,Repeated bot fights by build,current_penalty,alternative_penalty,all builds,bot set,attack2,bot,variable,30_days,"income_per_day;XP_per_day;build_bias","Penalty applies equally within 10% after power normalization"
E01,5,Regression,Determinism with seeded RNG,same_seed,repeated_run,equal,equal,all,all,all,1000,"exact_hash;event_sequence","Byte-identical reports for same seed/config"
E02,5,Regression,Mirror symmetry,swap_sides,original_sides,equal,equal,all,all,all,5000,"side_win_rate_delta","Absolute side delta <=3pp"
E03,5,Regression,Probability bounds at extreme stats,min_stats,max_stats,extremes,extremes,all,all,1,10000,"NaN;out_of_range;caps","No NaN; all probabilities inside declared caps"
E04,5,Regression,No infinite fight under legal builds,legal_build_matrix,max_rounds,all builds,all builds,all,all,all,20000,"timeout_rate;max_rounds","Timeout rate <10%; every fight terminates by cap"
E05,5,Regression,Combat log replay reconstructs final state,event_replay,direct_state,all builds,all builds,all,all,all,5000,"HP_diff;position_diff;durability_diff","Zero state differences after replay"
